,RAW DATA
0,[]
1,['seniority']
2,['familiarity']
3,['functionalities']
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,['code versioning tools']
15,[]
16,[]
17,[]
18,['continuous integration']
19,['continuous delivery development processes']
20,['jenkins']
21,['bamboo']
22,[]
23,['frameworks']
24,['transformations']
25,['analytical reporting']
26,['conceptual data models']
27,['standard naming conventions']
28,['coding practices']
29,['consistency']
30,['optimized solutions']
31,['methodologies']
32,['high throughput data access services']
33,['analyze/profile data']
34,"['conceptual, logical & physical data model designs']"
35,['reporting and analytics solutions']
36,['physical databases']
37,['variances']
38,['discrepancies']
39,['all phases']
40,['integrations']
41,[]
42,['logical and physical data models']
43,['interpersonal skills']
44,['modern enterprise data architectures']
45,['data toolsets']
46,['e.g.: data warehouse']
47,['data marts']
48,['modeling tools']
49,['profiling tools']
50,[]
51,[]
52,[]
53,['coding background']
54,['either Java']
55,[]
56,[]
57,[]
58,[]
59,['each following distributed technologies']
60,[]
61,['i.e. Postgres']
62,[]
63,[]
64,[]
65,[]
66,[]
67,[]
68,['i.e. Apache Spark']
69,[]
70,[]
71,[]
72,['i.e. Apache Kafka']
73,[]
74,[]
75,['standard methodologies']
76,[]
77,[]
78,[]
79,['similar cloud platform technologies']
80,['persuasion']
81,['experience building cloud environments']
82,[]
83,['scripting']
84,"['python, shell']"
85,[]
86,[]
87,[]
88,['zmq']
89,['grpc']
90,['microservice architecture']
91,['orchestration']
92,['docker']
93,['kubernetes']
94,['cloud environments']
95,['etcd']
96,['service meshes']
97,['envoy']
98,['vault']
99,[]
100,['load balancers']
101,['databases']
102,['consistency']
103,['sql/nosql']
104,['columnar databases']
105,['distributed consensus']
106,[]
107,[]
108,"['map-reduce, reliable multicast']"
109,[]
110,[]
111,[]
112,[]
113,[]
114,[]
115,[]
116,[]
117,[]
118,[]
119,[]
120,['toolingScala programming experienceKnowledge']
121,[]
122,['binary protocolsExperience']
123,[]
124,['experience building cloud environments']
125,[]
126,['scripting']
127,"['python, shell']"
128,[]
129,[]
130,[]
131,['zmq']
132,['grpc']
133,['microservice architecture']
134,['orchestration']
135,['docker']
136,['kubernetes']
137,['cloud environments']
138,['etcd']
139,['service meshes']
140,['envoy']
141,['vault']
142,[]
143,['load balancers']
144,['databases']
145,['consistency']
146,['sql/nosql']
147,['columnar databases']
148,['distributed consensus']
149,[]
150,[]
151,"['map-reduce, reliable multicast']"
152,[]
153,[]
154,[]
155,[]
156,[]
157,[]
158,[]
159,[]
160,[]
161,[]
162,[]
163,['toolingScala programming experienceKnowledge']
164,[]
165,['binary protocolsExperience']
166,[]
167,[]
168,[]
169,[]
170,[]
171,['algorithms']
172,['standard (W3C) Web UI APIs']
173,['the following types frameworks/libraries/languages']
174,[]
175,[]
176,[]
177,[]
178,[]
179,[]
180,[]
181,[]
182,[]
183,[]
184,[]
185,[]
186,['commonJS']
187,[]
188,[]
189,[]
190,[]
191,[]
192,[]
193,['lambdas']
194,['optionals']
195,[]
196,[]
197,[]
198,['consuming service oriented architecture layers']
199,[]
200,['highly scalable applications']
201,[]
202,[]
203,[]
204,[]
205,[]
206,[]
207,[]
208,[]
209,[]
210,[]
211,['highly distributed and scalable systems']
212,[]
213,[]
214,['latency']
215,['heap']
216,['profiling']
217,['distributed troubleshooting']
218,[]
219,[]
220,[]
221,[]
222,[]
223,[]
224,[]
225,[]
226,['frameworks']
227,[]
228,[]
229,[]
230,[]
231,[]
232,[]
233,[]
234,[]
235,['tuning']
236,['distributed code repositories']
237,[]
238,[]
239,[]
240,[]
241,[]
242,[]
243,[]
244,[]
245,[]
246,[]
247,[]
248,['frameworks']
249,[]
250,[]
251,[]
252,['any RDBMS and strong SQL knowledge']
253,[]
254,[]
255,[]
256,[]
257,[]
258,['usability design']
259,[]
260,[]
261,[]
262,[]
263,['noSQL databases']
264,['docker and container platforms']
265,[]
266,[]
267,[]
268,['optimization']
269,[]
270,['analytical devices']
271,['measurement and control algorithms']
272,[]
273,"['analytical, medical, or automotive devices']"
274,[]
275,['programming user interfaces']
276,['the Qt Framework']
277,[]
278,[]
279,['regulated markets']
280,['embedded Linux-Systems']
281,[]
282,[]
283,[]
284,[]
285,['the Linux-Yocto distribution']
286,[]
287,['mentor']
288,[]
289,[]
290,['architectural and design best practices']
291,['deployment']
292,['scaling']
293,['availability characteristics']
294,['the long-term architectural direction']
295,['platforms/ reusable components']
296,['a nimble delivery process']
297,['reliability']
298,['extensibility']
299,['deliverables']
300,['next generation extensible web']
301,['mobile and fashion commerce platforms']
302,['security protocols']
303,['customisation']
304,['continuous scaling']
305,['internationalization']
306,['extensions']
307,['the architectural governance']
308,['directional paths']
309,['new technology stacks']
310,['multiple technology domains']
311,[]
312,['external technical forums']
313,['business stakeholders']
314,[]
315,"['term, long-term roadmaps']"
316,['excellent abstraction']
317,['coding']
318,['a startup/e-commerce ecosystem']
319,['a high growth & matrix environment']
320,['an efficient proficient problem-solver']
321,['business and technical perspectives']
322,['workable solutions']
323,['leading product development end-end (portfolio']
324,[]
325,['architectures']
326,['multi-million sessions/transactions']
327,['rdbms & NoSQL stores']
328,['massively large scale distributed internet systems']
329,[]
330,['multi-threading and performance oriented programming']
331,['highly scalable products']
332,['reliability']
333,['queues']
334,['frameworks']
335,['object-oriented programming']
336,['concurrency']
337,['fundamentals']
338,[]
339,"['reusable, modular code']"
340,[]
341,[]
342,[]
343,[]
344,[]
345,[]
346,[]
347,['markup languages']
348,[]
349,[]
350,[]
351,['pre-processing platforms']
352,[]
353,[]
354,[]
355,[]
356,[]
357,['the testing frameworks']
358,['code versioning tool - Git']
359,['all phases']
360,['deployment']
361,['a standardized IT methodology']
362,[]
363,['outputs']
364,['architectural development']
365,['modifications']
366,['specifications']
367,['congruence']
368,['the compatibility']
369,['interdependent technologies']
370,['computing related technology programs']
371,[]
372,[]
373,['technical expertise']
374,['statistical programming tasks']
375,['technical expertise']
376,['the Statistical Programming department']
377,[]
378,['more complex assigned tasks']
379,['appropriate validation requirements']
380,[]
381,[]
382,['cleanliness']
383,[]
384,['programming specifications datasets']
385,['datasets']
386,[]
387,['dataset derivations']
388,[]
389,['biostatistical tools']
390,['questions specification']
391,['consistency']
392,['lead programmer']
393,['the Biostatistical Team Lead']
394,['supervisor']
395,['project specific macros']
396,[]
397,['timely progress updates']
398,[]
399,['documents timelines']
400,[]
401,['integrated databases']
402,['project macros']
403,[]
404,['shells']
405,['programming specifications']
406,['safety outputs']
407,[]
408,['contract and budget assumptions']
409,['rework']
410,['mentors junior staff']
411,[]
412,['define xmls']
413,[]
414,[]
415,[]
416,['lead programmer role']
417,['proactive approach']
418,['efficiencies']
419,['protocols']
420,[]
421,['bid defenses']
422,['operational topics']
423,[]
424,[]
425,[]
426,[]
427,[]
428,[]
429,[]
430,['coworkers']
431,"['a talented, enthusiastic, and detail-oriented Data Engineer']"
432,['an agile way']
433,['analysis data modeling']
434,['deployment']
435,['big data pipelines']
436,['the Data Analytics team']
437,[]
438,['data pipelines']
439,['analytical techniques']
440,['insights']
441,[]
442,['big data pipelines']
443,[]
444,[]
445,[]
446,[]
447,[]
448,[]
449,[]
450,[]
451,[]
452,['new behavioural events']
453,['pipelines']
454,['datasets']
455,['our offline analytics capabilities']
456,[]
457,['our real time dash boarding capabilities']
458,[]
459,['a similar quantitative field']
460,[]
461,['another columnar store DW']
462,['cloud solutions / AWS / Azure / Google cloud']
463,['data visualization']
464,[]
465,[]
466,[]
467,['reporting/analytics platforms']
468,[]
469,['the business Preferred Qualifications']
470,['a data/software developer/scientist']
471,['predictive analytics/decision models']
472,['data mining libraries']
473,['algorithm design']
474,['problem solving']
475,[]
476,[]
477,['our iOS mobile application']
478,['high visibility']
479,['the fundamentals']
480,['algorithms']
481,['relevant SWE experience']
482,['iOS apps']
483,[]
484,['the AppStore']
485,[]
486,[]
487,[]
488,[]
489,[]
490,[]
491,['code versioning tools']
492,[]
493,['individual projects priorities']
494,['deadlines']
495,['deliverables']
496,['your technical expertise']
497,['bottlenecks']
498,['our software stack']
499,[]
500,['self-starters']
501,['a limitless drive']
502,[]
503,[]
504,[]
505,[]
506,[]
507,[]
508,[]
509,[]
510,['networking']
511,['hypervisors']
512,['databases']
513,[]
514,[]
515,[]
516,['databases']
517,[]
518,['granular file recovery']
519,[]
520,[]
521,['elastic compute']
522,['technical specifications']
523,['a concise and effective manner']
524,['agile activities']
525,['sprint planning']
526,['thorough knowledge']
527,['key architectural decisions']
528,['design considerations']
529,['detailed RCA']
530,[]
531,['master’s degree']
532,['object-oriented languages']
533,['developing Microservices']
534,[]
535,['other SOA development experience']
536,['preferably AWS']
537,[]
538,[]
539,[]
540,[]
541,[]
542,['xUnit']
543,['frameworks']
544,[]
545,['public cloud providers']
546,[]
547,['modern java script frameworks']
548,[]
549,['data retrieval performance']
550,[]
551,['designs/queries']
552,[]
553,['relational databases']
554,[]
555,['other non-relational DBs']
556,[]
557,['concurrency']
558,['parallel work streams']
559,[]
560,[]
561,[]
562,['proactively codes']
563,[]
564,['algorithms']
565,['minimal oversight']
566,['multiple concurrent priorities']
567,['a fast-paced environment']
568,[]
569,[]
570,[]
571,[]
572,['technical specifications']
573,['a DevOps model']
574,['debug']
575,[]
576,['uniformity']
577,[]
578,['various prototypes']
579,[]
580,[]
581,[]
582,[]
583,[]
584,[]
585,[]
586,[]
587,['both Apple iOS and Android platforms']
588,[]
589,[]
590,[]
591,['e.g. Azure integrations']
592,[]
593,[]
594,[]
595,[]
596,[]
597,[]
598,[]
599,[]
600,[]
601,[]
602,[]
603,[]
604,[]
605,['an Agile methodology']
606,[]
607,[]
608,['lifecycle']
609,['roadmaps']
610,[]
611,[]
612,[]
613,['cross-platform UX design']
614,[]
615,[]
616,[]
617,[]
618,[]
619,[]
620,['a fast-paced & complex environment']
621,['a self-motivated work ethic']
622,['urgency']
623,[]
624,['all relevant SOPs']
625,['servicesIntegrate Highspot']
626,['external APIs']
627,[]
628,[]
629,"['clean, reusable, supportable, and well-tested RESTful APIs']"
630,[]
631,[]
632,['functionality']
633,[]
634,[]
635,['maintainable and testable code']
636,['internal and external technical documentation']
637,[]
638,[]
639,['data formats']
640,['data transformations']
641,['scalable internet software']
642,['object-oriented and functional design patterns']
643,[]
644,['other feature crews']
645,[]
646,['frameworks']
647,[]
648,['highly-scalable and reliable infrastructure']
649,['other engineering crews']
650,['highly-availability distributed services']
651,['observability']
652,['shared frameworks']
653,['caches']
654,['indexes']
655,['frameworks']
656,[]
657,[]
658,['as well as with DevOps/Site-Reliability']
659,['maintainable and testable code']
660,['internal and external technical documentation']
661,[]
662,['cloud computing']
663,['containerization']
664,[]
665,['scalable internet software']
666,['object-oriented and functional design patterns']
667,[]
668,[]
669,[]
670,[]
671,['emerging frameworks']
672,['architectural patterns']
673,[]
674,[]
675,['industry leading cloud providers']
676,[]
677,[]
678,[]
679,[]
680,['modern ecosystems']
681,['automated build and deployment pipelines']
682,[]
683,['a collaborative product engineering team']
684,['a velocity multiplier']
685,['the refinement']
686,['the entire software stack']
687,[]
688,[]
689,['the norms']
690,['other software development capabilities']
691,['agile techniques']
692,['oversight']
693,['the project roadmap']
694,['emerging technologies']
695,['frameworks']
696,['cloud-based ecosystems']
697,['proven validation techniques']
698,['scripts']
699,['routines']
700,['production environments']
701,[]
702,[]
703,[]
704,['emerging frameworks']
705,['architectural patterns']
706,[]
707,[]
708,['industry leading cloud providers']
709,[]
710,[]
711,[]
712,[]
713,['modern ecosystems']
714,['automated build and deployment pipelines']
715,[]
716,['a collaborative product engineering team']
717,['the refinement']
718,['other talented software engineers']
719,['architects']
720,['the entire software stack']
721,[]
722,[]
723,['the norms']
724,['emerging technologies']
725,['frameworks']
726,['cloud-based ecosystems']
727,['other software development capabilities']
728,['agile techniques']
729,['proven validation techniques']
730,['scripts']
731,['routines']
732,['production environments']
733,[]
734,[]
735,[]
736,['emerging frameworks']
737,['architectural patterns']
738,[]
739,[]
740,['industry leading cloud providers']
741,[]
742,[]
743,[]
744,[]
745,['modern ecosystems']
746,['automated build and deployment pipelines']
747,[]
748,['a collaborative product engineering team']
749,['a velocity multiplier']
750,['the refinement']
751,['the entire software stack']
752,[]
753,[]
754,['the norms']
755,['other software development capabilities']
756,['agile techniques']
757,['oversight']
758,['the project roadmap']
759,['emerging technologies']
760,['frameworks']
761,['cloud-based ecosystems']
762,['proven validation techniques']
763,['scripts']
764,['routines']
765,['production environments']
766,[]
767,[]
768,[]
769,['robust code']
770,['a biotechnology']
771,[]
772,['cloud computing']
773,['automated analysis']
774,['annotation']
775,['advanced display and data manipulation']
776,['strong Python coding skills']
777,['a great back catalogue']
778,['homebrew projects']
779,['documentation']
780,['your sleeves']
781,[]
782,[]
783,[]
784,['genomic file formats']
785,['product enhancements']
786,[]
787,[]
788,[]
789,['mentor']
790,['international teammates']
791,"['a mostly text-based, asynchronous, remote-first team environment']"
792,['yearly conferences']
793,['constructive feedback']
794,['the team’s overall technical strategy']
795,['a product roadmap']
796,['technical deliverables']
797,['an important and communicative part']
798,['an engaged and spirited team']
799,['all support and escalations tickets']
800,['workarounds']
801,['promptly follow-up']
802,[]
803,[]
804,"['a high-pressure, fast-paced, fast growth environment']"
805,['knowledge base entries']
806,['the Support Portal']
807,[]
808,['a timely manner']
809,[]
810,[]
811,[]
812,[]
813,[]
814,[]
815,[]
816,[]
817,[]
818,['configuration']
819,[]
820,[]
821,['prior Active Directory/LDAP experience']
822,['various scenarios']
823,['tcpdump']
824,['protocols']
825,[]
826,[]
827,[]
828,[]
829,[]
830,[]
831,[]
832,['other support portal tools']
833,[]
834,['all support and escalations tickets']
835,['workarounds']
836,['promptly follow-up']
837,[]
838,[]
839,"['a high-pressure, fast-paced, fast growth environment']"
840,['knowledge base entries']
841,['the Support Portal']
842,[]
843,['a timely manner']
844,[]
845,[]
846,[]
847,[]
848,[]
849,[]
850,[]
851,[]
852,[]
853,['configuration']
854,[]
855,[]
856,['prior Active Directory/LDAP experience']
857,['various scenarios']
858,['tcpdump']
859,['protocols']
860,[]
861,[]
862,[]
863,[]
864,[]
865,[]
866,[]
867,['other support portal tools']
868,[]
869,['billions']
870,[]
871,[]
872,['advanced SQL']
873,[]
874,['tooling']
875,['production and debugging complex systems']
876,['their mathematical concepts']
877,['sklearn']
878,[]
879,['pandas']
880,[]
881,['similar packages']
882,['deep learning packages']
883,[]
884,[]
885,[]
886,[]
887,[]
888,[]
889,[]
890,[]
891,['automation technologies']
892,"['e.g., Kubernetes']"
893,[]
894,[]
895,[]
896,[]
897,[]
898,['embeddings']
899,['attention mechanisms']
900,[]
901,['the information/cyber security domain']
902,['the underlying mathematical models']
903,['exploratory data analysis']
904,['algorithms']
905,['synthetic data sets']
906,['statistical and machine learning models']
907,['efficacy']
908,[]
909,['debugs']
910,['software enhancements']
911,"['local, networked, or Internet-related computer programs']"
912,['debugging']
913,['documentation']
914,['necessary modifications']
915,['reviews product/project deliverables']
916,['the life cycle methodologies']
917,"['i.e., impact assessments']"
918,['external & internal specifications']
919,['manuals']
920,[]
921,['scripts']
922,['the ACI Code']
923,['troubleshooting']
924,[]
925,[]
926,[]
927,[]
928,['the following development languages / frameworks / tools']
929,[]
930,['containers']
931,['orchestration tools']
932,['e.g. Azure']
933,['docker']
934,[]
935,[]
936,[]
937,['micro-services deployment']
938,['other frameworks/tools']
939,[]
940,[]
941,[]
942,[]
943,['sensitive data encryption']
944,['e.g. HashiCorp/HSM integration']
945,['the following code versioning']
946,['i.e. Git']
947,[]
948,[]
949,[]
950,['testing frameworks']
951,['i.e. Junit']
952,[]
953,[]
954,[]
955,[]
956,[]
957,[]
958,[]
959,[]
960,[]
961,[]
962,[]
963,['shell scripting']
964,[]
965,[]
966,[]
967,[]
968,[]
969,[]
970,[]
971,[]
972,[]
973,[]
974,[]
975,[]
976,['liquibase']
977,[]
978,[]
979,['our preferred technology stack']
980,[]
981,[]
982,[]
983,[]
984,['modern JavaScript']
985,['amazing GraphQL']
986,[]
987,['our backend service teams']
988,['modern JavaScript technologies']
989,['a collaborative agile/scrum environment']
990,['strong competencies']
991,['algorithms']
992,['software craftsmanship']
993,[]
994,[]
995,[]
996,[]
997,[]
998,[]
999,[]
1000,[]
1001,[]
1002,['relational databases']
1003,[]
1004,[]
1005,[]
1006,[]
1007,[]
1008,[]
1009,[]
1010,[]
1011,['testing frameworks']
1012,[]
1013,[]
1014,[]
1015,['pytest']
1016,['profiling tools']
1017,['familiarity']
1018,['caching strategies']
1019,['third party APIs']
1020,[]
1021,[]
1022,[]
1023,[]
1024,['subscriptions']
1025,[]
1026,[]
1027,[]
1028,['startups']
1029,['esports']
1030,['our preferred technology stack']
1031,[]
1032,[]
1033,[]
1034,[]
1035,['amazing GraphQL']
1036,[]
1037,['our backend service teams']
1038,[]
1039,['modern JavaScript technologies']
1040,['a collaborative agile/scrum environment']
1041,['strong competencies']
1042,['algorithms']
1043,['software craftsmanship']
1044,[]
1045,[]
1046,[]
1047,[]
1048,[]
1049,[]
1050,[]
1051,[]
1052,[]
1053,['relational databases']
1054,[]
1055,[]
1056,[]
1057,[]
1058,[]
1059,[]
1060,[]
1061,[]
1062,['testing frameworks']
1063,[]
1064,[]
1065,[]
1066,['pytest']
1067,['profiling tools']
1068,['familiarity']
1069,['caching strategies']
1070,['third party APIs']
1071,[]
1072,[]
1073,[]
1074,[]
1075,['subscriptions']
1076,[]
1077,[]
1078,[]
1079,['startups']
1080,['esports']
1081,['our preferred technology stack']
1082,[]
1083,[]
1084,[]
1085,['modern JavaScript']
1086,['amazing GraphQL']
1087,[]
1088,['our backend service teams']
1089,['modern JavaScript technologies']
1090,['a collaborative agile/scrum environment']
1091,['strong competencies']
1092,['algorithms']
1093,['software craftsmanship']
1094,[]
1095,[]
1096,[]
1097,[]
1098,[]
1099,[]
1100,[]
1101,[]
1102,[]
1103,['relational databases']
1104,[]
1105,[]
1106,[]
1107,[]
1108,[]
1109,[]
1110,[]
1111,[]
1112,['testing frameworks']
1113,[]
1114,[]
1115,[]
1116,['pytest']
1117,['profiling tools']
1118,['familiarity']
1119,['caching strategies']
1120,['third party APIs']
1121,[]
1122,[]
1123,[]
1124,[]
1125,['subscriptions']
1126,[]
1127,[]
1128,[]
1129,['startups']
1130,['esports']
1131,['our preferred technology stack']
1132,[]
1133,[]
1134,[]
1135,[]
1136,['amazing GraphQL']
1137,[]
1138,['our backend service teams']
1139,[]
1140,['modern JavaScript technologies']
1141,['a collaborative agile/scrum environment']
1142,['strong competencies']
1143,['algorithms']
1144,['software craftsmanship']
1145,[]
1146,[]
1147,[]
1148,[]
1149,[]
1150,[]
1151,[]
1152,[]
1153,[]
1154,['relational databases']
1155,[]
1156,[]
1157,[]
1158,[]
1159,[]
1160,[]
1161,[]
1162,[]
1163,['testing frameworks']
1164,[]
1165,[]
1166,[]
1167,['pytest']
1168,['profiling tools']
1169,['familiarity']
1170,['caching strategies']
1171,['third party APIs']
1172,[]
1173,[]
1174,[]
1175,[]
1176,['subscriptions']
1177,[]
